"TRANSF", "SWEEP", "off(A)"
          0,  0, 5.17966796883682843E+002
          1,  1, 5.17963511790732776E+002
        256,  1, 5.11845766991457271E+002
        512,  1, 5.09515782964321275E+002
        768,  1, 5.06254429411681153E+002
       1024,  1, 5.03869656839630573E+002
       1280,  1, 5.01734721166490099E+002
       1536,  1, 4.99864596898155944E+002
       1792,  1, 4.97975830029773694E+002
       2048,  1, 4.96364258995533666E+002
       2304,  1, 4.95127392964741324E+002
       2560,  1, 4.93750205435609886E+002
       2816,  1, 4.92385454532563915E+002
       3072,  1, 4.91113218809329673E+002
       3328,  1, 4.89377012430602659E+002
       3584,  1, 4.88062669443106263E+002
       3840,  1, 4.86898891786754391E+002
       4096,  1, 4.85920200642016646E+002
       4352,  1, 4.85004457806493614E+002
       4608,  1, 4.84186041773838989E+002
       4864,  1, 4.83582724964076911E+002
       5120,  1, 4.82892406052824527E+002
       5376,  1, 4.82458835643160237E+002
       5632,  1, 4.81980192665735048E+002
       5888,  1, 4.81487027864181662E+002
       6144,  1, 4.81009816069310509E+002
       6400,  1, 4.80520602988085481E+002
       6656,  1, 4.79979070198407098E+002
       6912,  1, 4.79366945834009415E+002
       7168,  1, 4.78802665469507002E+002
       7424,  1, 4.78397260088757440E+002
       7680,  1, 4.78122729827520860E+002
       7936,  1, 4.77836822490427993E+002
       8192,  1, 4.77433102853756973E+002
       8448,  1, 4.77101230696047452E+002
       8704,  1, 4.76802228271168605E+002
       8960,  1, 4.76508175772381225E+002
       9216,  1, 4.76193417825480750E+002
       9472,  1, 4.75877372643399393E+002
       9728,  1, 4.75695985496797963E+002
       9984,  1, 4.75430688130020393E+002
      10240,  1, 4.75179191272662988E+002
      10496,  1, 4.75006786718507637E+002
      10752,  1, 4.74794759063265225E+002
      11008,  1, 4.74530743315635516E+002
      11264,  1, 4.74345246253933234E+002
      11520,  1, 4.74173925113218900E+002
      11776,  1, 4.74025612000986143E+002
      12032,  1, 4.73852523714160392E+002
      12288,  1, 4.73710464096100985E+002
      12544,  1, 4.73597123181756637E+002
      12800,  1, 4.73475627028366152E+002
      13056,  1, 4.73354712911528709E+002
      13312,  1, 4.73244686354159521E+002
      13568,  1, 4.73148205906188617E+002
      13824,  1, 4.73068979243305084E+002
      14080,  1, 4.72996089215396902E+002
      14336,  1, 4.72930762797931688E+002
      14592,  1, 4.72853186850892746E+002
      14848,  1, 4.72762071950340559E+002
      15104,  1, 4.72669506492847395E+002
      15360,  1, 4.72610139287644032E+002
      15616,  1, 4.72543174141025979E+002
      15872,  1, 4.72497069171782912E+002
      16128,  1, 4.72440356448735293E+002
      16384,  1, 4.72398041476260542E+002
      16640,  1, 4.72346839744326809E+002
      16896,  1, 4.72311938145656651E+002
      17152,  1, 4.72275586077849401E+002
      17408,  1, 4.72232959201198748E+002
      17664,  1, 4.72200850286325267E+002
      17920,  1, 4.72165237089092886E+002
      18176,  1, 4.72132562646749581E+002
      18432,  1, 4.72093763725702391E+002
      18688,  1, 4.72073025334864721E+002
      18944,  1, 4.72042125415280460E+002
      19200,  1, 4.72012142239200676E+002
      19456,  1, 4.71986450426289725E+002
      19712,  1, 4.71959756750004714E+002
      19968,  1, 4.71934021096026272E+002
      20224,  1, 4.71911674752514019E+002
      20480,  1, 4.71893944298156266E+002
      20736,  1, 4.71874069236139722E+002
      20992,  1, 4.71856409748134271E+002
      21248,  1, 4.71840232722141177E+002
      21504,  1, 4.71826305908658121E+002
      21760,  1, 4.71809534087336662E+002
      22016,  1, 4.71794844964692019E+002
      22272,  1, 4.71783927786429702E+002
      22528,  1, 4.71771915188418277E+002
      22784,  1, 4.71762671339590293E+002
      23040,  1, 4.71753094656732652E+002
      23296,  1, 4.71744109051903706E+002
      23552,  1, 4.71735741414029671E+002
      23808,  1, 4.71728000638768054E+002
      24064,  1, 4.71720677569709765E+002
      24320,  1, 4.71712755197185822E+002
      24576,  1, 4.71705938693890620E+002
      24832,  1, 4.71696754013466400E+002
      25088,  1, 4.71690479903741265E+002
      25344,  1, 4.71684564882820753E+002
      25600,  1, 4.71680373925606526E+002
      25856,  1, 4.71675477953174026E+002
      26112,  1, 4.71671372333459181E+002
      26368,  1, 4.71668190319073088E+002
      26624,  1, 4.71663600417347238E+002
      26880,  1, 4.71660306785300921E+002
      27136,  1, 4.71657426948711298E+002
      27392,  1, 4.71654540057277285E+002
      27648,  1, 4.71652444143460129E+002
      27904,  1, 4.71649576893276740E+002
      28160,  1, 4.71647227074661391E+002
      28416,  1, 4.71645068703907856E+002
      28672,  1, 4.71643481892089853E+002
      28928,  1, 4.71642138657072014E+002
      29184,  1, 4.71640918122952436E+002
      29440,  1, 4.71639780077312166E+002
      29696,  1, 4.71638937026957780E+002
      29952,  1, 4.71637818817620076E+002
      30208,  1, 4.71636968137149724E+002
      30464,  1, 4.71635717495459703E+002
      30720,  1, 4.71635218519952005E+002
      30976,  1, 4.71634391439063436E+002
      31232,  1, 4.71633823751705453E+002
      31488,  1, 4.71633320439733700E+002
      31744,  1, 4.71632710528692554E+002
      32000,  1, 4.71632210447342762E+002
      32256,  1, 4.71631709927395196E+002
      32512,  1, 4.71631303410224990E+002
      32768,  1, 4.45364351001465869E+002
      33024,  1, 4.33513717632343868E+002
      33280,  1, 4.17092403382648232E+002
      33536,  1, 4.04483370151041390E+002
      33792,  1, 3.92912525796504586E+002
      34048,  1, 3.81085179299629880E+002
      34304,  1, 3.69836403095291928E+002
      34560,  1, 3.59237695376354244E+002
      34816,  1, 3.51959439085521689E+002
      35072,  1, 3.43220815669496160E+002
      35328,  1, 3.34776623524523113E+002
      35584,  1, 3.25445452843050920E+002
      35840,  1, 3.13954779470240327E+002
      36096,  1, 3.03000083054026146E+002
      36352,  1, 2.96187038270562409E+002
      36608,  1, 2.86494917175571590E+002
      36864,  1, 2.78894925947691705E+002
      37120,  1, 2.71917083940681786E+002
      37376,  1, 2.65143036859733156E+002
      37632,  1, 2.59476074118000448E+002
      37888,  1, 2.53751087492922026E+002
      38144,  1, 2.48744862321066410E+002
      38400,  1, 2.44273591780247985E+002
      38656,  1, 2.39697074976010745E+002
      38912,  1, 2.34434971407004476E+002
      39168,  1, 2.29945620525885653E+002
      39424,  1, 2.24871393533553857E+002
      39680,  1, 2.19347924854140697E+002
      39936,  1, 2.13702130466898604E+002
      40192,  1, 2.08098795540250716E+002
      40448,  1, 2.03304975291008815E+002
      40704,  1, 2.00100103808593968E+002
      40960,  1, 1.96523310922536496E+002
      41216,  1, 1.92272955262526812E+002
      41472,  1, 1.87948387638933735E+002
      41728,  1, 1.84015265888812472E+002
      41984,  1, 1.80206791107399660E+002
      42240,  1, 1.77035313852615356E+002
      42496,  1, 1.72770354926083953E+002
      42752,  1, 1.68573283091110699E+002
      43008,  1, 1.65683079495581279E+002
      43264,  1, 1.62227870759510844E+002
      43520,  1, 1.58880834274578895E+002
      43776,  1, 1.55589318713678484E+002
      44032,  1, 1.52566331158274101E+002
      44288,  1, 1.49732076406417705E+002
      44544,  1, 1.46153221134302281E+002
      44800,  1, 1.42973113484888196E+002
      45056,  1, 1.40220685540790863E+002
      45312,  1, 1.37304308948921861E+002
      45568,  1, 1.34662394236614629E+002
      45824,  1, 1.31920917448794724E+002
      46080,  1, 1.29214489678035769E+002
      46336,  1, 1.27138030830793749E+002
      46592,  1, 1.25043700171031907E+002
      46848,  1, 1.22587816331677612E+002
      47104,  1, 1.20192886488696125E+002
      47360,  1, 1.18135640008060036E+002
      47616,  1, 1.16328216575222972E+002
      47872,  1, 1.14351102269482834E+002
      48128,  1, 1.12242753198915458E+002
      48384,  1, 1.10626092473786716E+002
      48640,  1, 1.09402206611946268E+002
      48896,  1, 1.07766592287749445E+002
      49152,  1, 1.06073446649773357E+002
      49408,  1, 1.04410157628343145E+002
      49664,  1, 1.02708278581412443E+002
      49920,  1, 1.00677678702459865E+002
      50176,  1, 9.88191239630462784E+001
      50432,  1, 9.74602582048616030E+001
      50688,  1, 9.59897051694004592E+001
      50944,  1, 9.45805422440267726E+001
      51200,  1, 9.32936921794650742E+001
      51456,  1, 9.18648396896354057E+001
      51712,  1, 9.07046592658088446E+001
      51968,  1, 8.95233796617553869E+001
      52224,  1, 8.83825972647473408E+001
      52480,  1, 8.73687165731434343E+001
      52736,  1, 8.64384676058339316E+001
      52992,  1, 8.52355828819458126E+001
      53248,  1, 8.44084980134687806E+001
      53504,  1, 8.34084963861475228E+001
      53760,  1, 8.24316658311129343E+001
      54016,  1, 8.14891847224404145E+001
      54272,  1, 8.04353210994329636E+001
      54528,  1, 7.95219309918749923E+001
      54784,  1, 7.86212311026703719E+001
      55040,  1, 7.77406795866699561E+001
      55296,  1, 7.68610726558719656E+001
      55552,  1, 7.60465448704679727E+001
      55808,  1, 7.51357550571413753E+001
      56064,  1, 7.42865346765757912E+001
      56320,  1, 7.35445195287520636E+001
      56576,  1, 7.27268262021524485E+001
      56832,  1, 7.19148224737575790E+001
      57088,  1, 7.10751792193762178E+001
      57344,  1, 7.04397049298296907E+001
      57600,  1, 6.97904720736092172E+001
      57856,  1, 6.91725506120995880E+001
      58112,  1, 6.84783906540343169E+001
      58368,  1, 6.78498804701091620E+001
      58624,  1, 6.71906117579570480E+001
      58880,  1, 6.67138005951133111E+001
      59136,  1, 6.61285319411651165E+001
      59392,  1, 6.56183853973069963E+001
      59648,  1, 6.50644137007503803E+001
      59904,  1, 6.44878221643712298E+001
      60160,  1, 6.39509448842300329E+001
      60416,  1, 6.34776113108698839E+001
      60672,  1, 6.28867991506715004E+001
      60928,  1, 6.24854128620609128E+001
      61184,  1, 6.21850093987197366E+001
      61440,  1, 6.17531275628050442E+001
      61696,  1, 6.13388609289242954E+001
      61952,  1, 6.09611893093806106E+001
      62208,  1, 6.06509477400770065E+001
      62464,  1, 6.02733315335715132E+001
      62720,  1, 5.99131311717930371E+001
      62976,  1, 5.95699247852958021E+001
      63232,  1, 5.91969163116743854E+001
      63488,  1, 5.88804964403759717E+001
      63744,  1, 5.85783053797004135E+001
      64000,  1, 5.82970407922496479E+001
      64256,  1, 5.80199721931663106E+001
      64512,  1, 5.77312094202417982E+001
      64768,  1, 5.74077450239867879E+001
      65024,  1, 5.70709365637699100E+001
      65280,  1, 5.68269289994577833E+001
      65536,  1, 5.64908710596797846E+001
      65792,  1, 5.62310074997978194E+001
      66048,  1, 5.58799885048855675E+001
      66304,  1, 5.56575186767795517E+001
      66560,  1, 5.53738522661380975E+001
      66816,  1, 5.51467562698384797E+001
      67072,  1, 5.49373720632549993E+001
      67328,  1, 5.47470034091164385E+001
      67584,  1, 5.45522537825728234E+001
      67840,  1, 5.43551354585307508E+001
      68096,  1, 5.41143376214337470E+001
      68352,  1, 5.39492307352867820E+001
      68608,  1, 5.37943438542893722E+001
      68864,  1, 5.36338739077202404E+001
      69120,  1, 5.34872402944643651E+001
      69376,  1, 5.33324420290717792E+001
      69632,  1, 5.31191258468699745E+001
      69888,  1, 5.29401499157004740E+001
      70144,  1, 5.27698361956989027E+001
      70400,  1, 5.26052221304258435E+001
      70656,  1, 5.24892080482990607E+001
      70912,  1, 5.23492701639818010E+001
      71168,  1, 5.22058400349824188E+001
      71424,  1, 5.20675672002752800E+001
      71680,  1, 5.19380899105964218E+001
      71936,  1, 5.18175360049129255E+001
      72192,  1, 5.16822329308370345E+001
      72448,  1, 5.15761121886888909E+001
      72704,  1, 5.14512372353081932E+001
      72960,  1, 5.13224400777632155E+001
      73216,  1, 5.12331282681778769E+001
      73472,  1, 5.11284654148208426E+001
      73728,  1, 5.10139948949587899E+001
      73984,  1, 5.09046509338528437E+001
      74240,  1, 5.08024011113780784E+001
      74496,  1, 5.06855786901222136E+001
      74752,  1, 5.05813023299135835E+001
      75008,  1, 5.05017503009162129E+001
      75264,  1, 5.04032697132971765E+001
      75520,  1, 5.03222307351177638E+001
      75776,  1, 5.02517032386932848E+001
      76032,  1, 5.01895845384365554E+001
      76288,  1, 5.01179006505044701E+001
      76544,  1, 5.00507556577836017E+001
      76800,  1, 4.99690141584751722E+001
      77056,  1, 4.99097193870147009E+001
      77312,  1, 4.98397104284873768E+001
      77568,  1, 4.97812009399702927E+001
      77824,  1, 4.97283932238691463E+001
      78080,  1, 4.96778178293221784E+001
      78336,  1, 4.96040600610145308E+001
      78592,  1, 4.95345562467888573E+001
      78848,  1, 4.94796521904689922E+001
      79104,  1, 4.94124964696315932E+001
      79360,  1, 4.93651449997475994E+001
      79616,  1, 4.93150692029262952E+001
      79872,  1, 4.92757590708681578E+001
      80128,  1, 4.92243751838613219E+001
      80384,  1, 4.91720977663380685E+001
      80640,  1, 4.91186644867238711E+001
      80896,  1, 4.90592360452021681E+001
      81152,  1, 4.90115269557976473E+001
      81408,  1, 4.89628621077701625E+001
      81664,  1, 4.89324960370408231E+001
      81920,  1, 4.88805467345841642E+001
      82176,  1, 4.88414626193299912E+001
      82432,  1, 4.87936932609343090E+001
      82688,  1, 4.87579208157250676E+001
      82944,  1, 4.87206468047729161E+001
      83200,  1, 4.86841809432691892E+001
      83456,  1, 4.86408815508565689E+001
      83712,  1, 4.85952880423959062E+001
      83968,  1, 4.85530765637039784E+001
      84224,  1, 4.85312921190070093E+001
      84480,  1, 4.84956671425609741E+001
      84736,  1, 4.84682980976398555E+001
      84992,  1, 4.84295141041631118E+001
      85248,  1, 4.84061324948040408E+001
      85504,  1, 4.83795969665971747E+001
      85760,  1, 4.83475002995937811E+001
      86016,  1, 4.83259195734888534E+001
      86272,  1, 4.82890915897504240E+001
      86528,  1, 4.82678048272182280E+001
      86784,  1, 4.82326338640474411E+001
      87040,  1, 4.82064923472705474E+001
      87296,  1, 4.81835249121969643E+001
      87552,  1, 4.81567311216294870E+001
      87808,  1, 4.81313369363501518E+001
      88064,  1, 4.81089210641512133E+001
      88320,  1, 4.80851753520756654E+001
      88576,  1, 4.80670313302867570E+001
      88832,  1, 4.80492661099932697E+001
      89088,  1, 4.80264624583967737E+001
      89344,  1, 4.79956856008561349E+001
      89600,  1, 4.79726858255257284E+001
      89856,  1, 4.79518369760241732E+001
      90112,  1, 4.79352074081053009E+001
      90368,  1, 4.79116214117908464E+001
      90624,  1, 4.78908212636848869E+001
      90880,  1, 4.78645699203802691E+001
      91136,  1, 4.78429115798917883E+001
      91392,  1, 4.78269615619067350E+001
      91648,  1, 4.78104783075377409E+001
      91904,  1, 4.77969144174018005E+001
      92160,  1, 4.77771934926232655E+001
      92416,  1, 4.77650679541154140E+001
      92672,  1, 4.77534373531440518E+001
      92928,  1, 4.77394786074174052E+001
      93184,  1, 4.77295844316044397E+001
      93440,  1, 4.77172996883427264E+001
      93696,  1, 4.76980860411188532E+001
      93952,  1, 4.76906411533044549E+001
      94208,  1, 4.76798576590691031E+001
      94464,  1, 4.76716048435304626E+001
      94720,  1, 4.76626819951598835E+001
      94976,  1, 4.76544037081021802E+001
      95232,  1, 4.76483539734940425E+001
      95488,  1, 4.76402348012169167E+001
      95744,  1, 4.76349497349487735E+001
      96000,  1, 4.76292615746319247E+001
      96256,  1, 4.76261648286545650E+001
      96512,  1, 4.76230958453278625E+001
      96768,  1, 4.76201040113230280E+001
      97024,  1, 4.76169074064447689E+001
      97280,  1, 4.76153920654529685E+001
      97536,  1, 4.76144706336956866E+001
      97792,  1, 4.76133656539281480E+001
      98048,  1, 4.76130559488445922E+001
      98304,  1, 4.73341781431767818E+001
      98560,  1, 4.69746767802610277E+001
      98816,  1, 4.66703552602637581E+001
      99072,  1, 4.64776080893921914E+001
      99328,  1, 4.62499530768283236E+001
      99584,  1, 4.60165878628695539E+001
      99840,  1, 4.58052752533073495E+001
     100096,  1, 4.56045035090015888E+001
     100352,  1, 4.54571408652323205E+001
     100608,  1, 4.53261828083477943E+001
     100864,  1, 4.51083270950253362E+001
     101120,  1, 4.49725348144082529E+001
